employee_id,first_name,last_name,email,phone_number,gender,dob,marital_status,hire_date,job_id,department_id,salary,manager_id,education_level,business_travel,distance_from_home_km
1001,Vivaan,Verma,vivaan.verma1@company.com,9481469012,Male,1968-07-31,Single,2015-03-23,15,4,68938.0,,Bachelor'S,Travel_Frequently,41
1002,Divya,Saxena,divya.saxena2@company.com,9709004943,Female,2002-10-23,Married,2011-04-04,15,4,69813.0,,Bachelor'S,Travel_Frequently,32
1003,Kavya,Iyer,kavya.iyer3@company.com,9217734861,Female,1991-03-06,Single,2018-12-16,20,5,71540.0,,Diploma,Travel_Frequently,5
1004,Preeti,Sharma,preeti.sharma4@company.com,9382811832,Female,1999-06-24,Married,2024-05-17,7,9,57410.0,,Diploma,Non-Travel,41
1005,Suresh,Patel,suresh.patel5@company.com,9358633898,Male,1986-12-02,Single,2010-06-09,3,1,67274.0,,High School,Travel_Frequently,32
1006,Vikram,Bansal,vikram.bansal6@company.com,9434702822,Male,1988-09-02,Single,2023-08-10,11,3,62507.0,,Bachelor'S,Travel_Frequently,29
1007,Gaurav,Iyer,gaurav.iyer7@company.com,9818309417,Male,1996-10-02,Married,2024-02-26,1,1,61192.0,,Phd,Travel_Frequently,37
1008,Riya,Singh,riya.singh8@company.com,9532311310,Female,1984-01-01,Married,2019-03-22,7,9,59103.0,,High School,Non-Travel,13
1009,Sneha,Gupta,sneha.gupta9@company.com,9278575192,Female,1969-05-24,Married,2011-02-19,30,8,54344.0,,Master'S,Travel_Rarely,4
1010,Shreya,Malhotra,shreya.malhotra10@company.com,9153839920,Female,1973-07-09,Married,2016-08-27,28,8,54155.0,,Phd,Non-Travel,4
1011,Rahul,Chopra,rahul.chopra11@company.com,9379995032,Male,1990-12-21,Married,2023-05-03,6,9,43080.0,,Bachelor'S,Travel_Rarely,26
1012,Rohan,Kapoor,rohan.kapoor12@company.com,9995226828,Male,1987-09-11,Married,2015-12-13,6,9,54149.0,,Bachelor'S,Travel_Frequently,34
1013,Vikram,Nair,vikram.nair13@company.com,9624557080,Male,1977-03-21,Single,2016-04-27,6,9,59252.0,,High School,Travel_Frequently,28
1014,Amit,Patel,amit.patel14@company.com,9138684919,Male,1996-08-27,Married,2019-08-05,30,8,30099.0,,Phd,Non-Travel,28
1015,Suresh,Reddy,suresh.reddy15@company.com,9274484941,Male,1980-11-12,Single,2022-07-23,13,4,40155.0,,Diploma,Non-Travel,12
1016,Amit,Patel,amit.patel16@company.com,+91-9339362341,Male,1986-02-11,Single,2014-12-28,5,9,54815.0,,Diploma,Travel_Rarely,18
1017,Preeti,Mehta,preeti.mehta17@company.com,9568574364,Female,1976-09-19,Single,2014-01-02,1,1,55690.0,,Phd,Travel_Rarely,37
1018,Suresh,Malhotra,suresh.malhotra18@company.com,9450236225,Male,1992-12-14,Married,2017-01-15,7,9,58749.0,,Bachelor'S,Non-Travel,13
