employee_id,employee_name,gender,hire_date,salary,education_level,business_travel,distance_from_home_km,job_title,department_name,city,state,country,manager_name
1001,Vivaan Verma,Male,2015-03-23,68938.0,Bachelor'S,Travel_Frequently,41,Content Strategist,Marketing,Lucknow,Uttar Pradesh,India,
1002,Divya Saxena,Female,2011-04-04,69813.0,Bachelor'S,Travel_Frequently,32,Content Strategist,Marketing,Lucknow,Uttar Pradesh,India,
1003,Kavya Iyer,Female,2018-12-16,71540.0,Diploma,Travel_Frequently,5,Auditor,Finance,Mumbai,Maharashtra,India,
1004,Preeti Sharma,Female,2024-05-17,57410.0,Diploma,Non-Travel,41,Recruiter,Human Resources,Lucknow,Uttar Pradesh,India,
1005,Suresh Patel,Male,2010-06-09,67274.0,High School,Travel_Frequently,32,Territory Manager,Sales,Bangalore,Karnataka,India,
1006,Vikram Bansal,Male,2023-08-10,62507.0,Bachelor'S,Travel_Frequently,29,R&D Manager,Research & Development,Chennai,Tamil Nadu,India,
1007,Gaurav Iyer,Male,2024-02-26,61192.0,Phd,Travel_Frequently,37,Sales Executive,Sales,Bangalore,Karnataka,India,
1008,Riya Singh,Female,2019-03-22,59103.0,High School,Non-Travel,13,Recruiter,Human Resources,Lucknow,Uttar Pradesh,India,
1009,Sneha Gupta,Female,2011-02-19,54344.0,Master'S,Travel_Rarely,4,Customer Success Manager,Customer Support,Noida,Uttar Pradesh,India,
1010,Shreya Malhotra,Female,2016-08-27,54155.0,Phd,Non-Travel,4,Support Executive,Customer Support,Noida,Uttar Pradesh,India,
1011,Rahul Chopra,Male,2023-05-03,43080.0,Bachelor'S,Travel_Rarely,26,HR Manager,Human Resources,Lucknow,Uttar Pradesh,India,
1012,Rohan Kapoor,Male,2015-12-13,54149.0,Bachelor'S,Travel_Frequently,34,HR Manager,Human Resources,Lucknow,Uttar Pradesh,India,
1013,Vikram Nair,Male,2016-04-27,59252.0,High School,Travel_Frequently,28,HR Manager,Human Resources,Lucknow,Uttar Pradesh,India,
1014,Amit Patel,Male,2019-08-05,30099.0,Phd,Non-Travel,28,Customer Success Manager,Customer Support,Noida,Uttar Pradesh,India,
1015,Suresh Reddy,Male,2022-07-23,40155.0,Diploma,Non-Travel,12,Marketing Executive,Marketing,Lucknow,Uttar Pradesh,India,
1016,Amit Patel,Male,2014-12-28,54815.0,Diploma,Travel_Rarely,18,HR Executive,Human Resources,Lucknow,Uttar Pradesh,India,
1017,Preeti Mehta,Female,2014-01-02,55690.0,Phd,Travel_Rarely,37,Sales Executive,Sales,Bangalore,Karnataka,India,
1018,Suresh Malhotra,Male,2017-01-15,58749.0,Bachelor'S,Non-Travel,13,Recruiter,Human Resources,Lucknow,Uttar Pradesh,India,
1019,Ashok Tiwari,Male,2010-01-04,72524.0,Diploma,Travel_Rarely,51,Auditor,Finance,Mumbai,Maharashtra,India,
1020,Sanjay Agarwal,Male,2015-04-09,70596.0,High School,Travel_Rarely,41,Software Engineer,IT,Jaipur,Rajasthan,India,
1021,Sneha Kumar,Female,2019-07-15,67216.0,Master'S,Travel_Frequently,39,Sales Executive,Sales,Bangalore,Karnataka,India,
1022,Preeti Kapoor,Female,2015-10-25,74270.0,High School,Non-Travel,18,Data Scientist,Research & Development,Chennai,Tamil Nadu,India,
1023,Rahul Chopra,Male,2019-04-22,71377.0,High School,Travel_Rarely,31,Lab Technician,Research & Development,Chennai,Tamil Nadu,India,
