employee_id,employee_name,gender,department_name,job_title,city,state,country,manager_name,hire_date,tenure_years,salary,education_level,business_travel,distance_from_home_km,performance_rating,job_satisfaction,work_life_balance,latest_attendance_status,overtime_hours,exit_date,exit_reason,is_active
1001,Vivaan Verma,Male,Marketing,Content Strategist,Lucknow,Uttar Pradesh,India,,2015-03-23,8.37,68938.0,Bachelor'S,Travel_Frequently,41,1.0,3,1.0,Present,3.0,2023-08-06,Not Specified,False
1002,Divya Saxena,Female,Marketing,Content Strategist,Lucknow,Uttar Pradesh,India,,2011-04-04,15.29,69813.0,Bachelor'S,Travel_Frequently,32,3.0,5,,,,,,True
1003,Kavya Iyer,Female,Finance,Auditor,Mumbai,Maharashtra,India,,2018-12-16,7.59,71540.0,Diploma,Travel_Frequently,5,,2,5.0,Present,1.5,,,True
1004,Preeti Sharma,Female,Human Resources,Recruiter,Lucknow,Uttar Pradesh,India,,2024-05-17,0.69,57410.0,Diploma,Non-Travel,41,2.0,3,5.0,Present,0.0,2025-01-24,Better Opportunity,False
1005,Suresh Patel,Male,Sales,Territory Manager,Bangalore,Karnataka,India,,2010-06-09,16.11,67274.0,High School,Travel_Frequently,32,4.0,2,5.0,,,,,True
1006,Vikram Bansal,Male,Research & Development,R&D Manager,Chennai,Tamil Nadu,India,,2023-08-10,2.94,62507.0,Bachelor'S,Travel_Frequently,29,3.0,4,5.0,,,,,True
1007,Gaurav Iyer,Male,Sales,Sales Executive,Bangalore,Karnataka,India,,2024-02-26,2.39,61192.0,Phd,Travel_Frequently,37,4.0,5,4.0,Present,1.0,,,True
1008,Riya Singh,Female,Human Resources,Recruiter,Lucknow,Uttar Pradesh,India,,2019-03-22,7.33,59103.0,High School,Non-Travel,13,4.0,3,,Leave,0.0,,,True
1009,Sneha Gupta,Female,Customer Support,Customer Success Manager,Noida,Uttar Pradesh,India,,2011-02-19,12.3,54344.0,Master'S,Travel_Rarely,4,,2,1.0,,,2023-06-09,Retirement,False
1010,Shreya Malhotra,Female,Customer Support,Support Executive,Noida,Uttar Pradesh,India,,2016-08-27,9.89,54155.0,Phd,Non-Travel,4,,1,1.0,,,,,True
1011,Rahul Chopra,Male,Human Resources,HR Manager,Lucknow,Uttar Pradesh,India,,2023-05-03,3.21,43080.0,Bachelor'S,Travel_Rarely,26,5.0,2,1.0,,,,,True
1012,Rohan Kapoor,Male,Human Resources,HR Manager,Lucknow,Uttar Pradesh,India,,2015-12-13,10.6,54149.0,Bachelor'S,Travel_Frequently,34,2.0,5,1.0,Present,0.0,,,True
1013,Vikram Nair,Male,Human Resources,HR Manager,Lucknow,Uttar Pradesh,India,,2016-04-27,10.23,59252.0,High School,Travel_Frequently,28,3.0,2,2.0,Present,0.0,,,True
1014,Amit Patel,Male,Customer Support,Customer Success Manager,Noida,Uttar Pradesh,India,,2019-08-05,4.99,30099.0,Phd,Non-Travel,28,4.0,1,2.0,Present,0.0,2024-07-31,Relocation,False
1015,Suresh Reddy,Male,Marketing,Marketing Executive,Lucknow,Uttar Pradesh,India,,2022-07-23,3.99,40155.0,Diploma,Non-Travel,12,2.0,3,5.0,Present,2.0,,,True
1016,Amit Patel,Male,Human Resources,HR Executive,Lucknow,Uttar Pradesh,India,,2014-12-28,11.56,54815.0,Diploma,Travel_Rarely,18,4.0,4,3.0,Present,3.0,,,True
1017,Preeti Mehta,Female,Sales,Sales Executive,Bangalore,Karnataka,India,,2014-01-02,12.54,55690.0,Phd,Travel_Rarely,37,,4,5.0,,,,,True
1018,Suresh Malhotra,Male,Human Resources,Recruiter,Lucknow,Uttar Pradesh,India,,2017-01-15,9.51,58749.0,Bachelor'S,Non-Travel,13,1.0,1,3.0,,,,,True
1019,Ashok Tiwari,Male,Finance,Auditor,Mumbai,Maharashtra,India,,2010-01-04,16.54,72524.0,Diploma,Travel_Rarely,51,4.0,3,1.0,Present,2.0,,,True
1020,Sanjay Agarwal,Male,IT,Software Engineer,Jaipur,Rajasthan,India,,2015-04-09,11.28,70596.0,High School,Travel_Rarely,41,3.0,2,4.0,Present,1.5,,,True
1021,Sneha Kumar,Female,Sales,Sales Executive,Bangalore,Karnataka,India,,2019-07-15,4.15,67216.0,Master'S,Travel_Frequently,39,4.0,2,1.0,,,2023-09-06,Personal Reasons,False
1022,Preeti Kapoor,Female,Research & Development,Data Scientist,Chennai,Tamil Nadu,India,,2015-10-25,9.22,74270.0,High School,Non-Travel,18,5.0,3,4.0,,,2025-01-13,Not Specified,False
1023,Rahul Chopra,Male,Research & Development,Lab Technician,Chennai,Tamil Nadu,India,,2019-04-22,7.24,71377.0,High School,Travel_Rarely,31,,5,1.0,,,,,True
1024,Preeti Saxena,Female,Marketing,Seo Specialist,Lucknow,Uttar Pradesh,India,,2016-02-14,10.43,62848.5,Diploma,Travel_Frequently,2,,4,1.0,,,,,True
1025,Manish Kumar,Male,Customer Support,Support Executive,Noida,Uttar Pradesh,India,,2015-11-02,10.71,46688.0,Master'S,Non-Travel,31,5.0,5,1.0,Present,1.0,,,True
1026,Sneha Gupta,Female,Sales,Sales Executive,Bangalore,Karnataka,India,,2014-06-22,12.07,63977.0,Bachelor'S,Non-Travel,39,,4,4.0,Present,1.0,,,True
1027,Sanjay Singh,Male,Sales,Territory Manager,Bangalore,Karnataka,India,,2025-03-11,1.36,37793.0,High School,Travel_Frequently,39,2.0,2,2.0,,,,,True
1028,Suresh Saxena,Male,Operations,Operations Executive,Chennai,Tamil Nadu,India,,2024-07-10,2.02,46009.0,Master'S,Travel_Rarely,12,2.0,1,2.0,Present,1.0,,,True
1029,Nisha Malhotra,Female,Finance,Finance Manager,Mumbai,Maharashtra,India,,2011-12-11,14.6,72082.0,Bachelor'S,Travel_Rarely,14,1.0,5,1.0,Present,0.0,,,True
1030,Preeti Sharma,Female,Marketing,Marketing Executive,Lucknow,Uttar Pradesh,India,,2019-02-12,7.43,56786.0,Bachelor'S,Travel_Rarely,45,3.0,5,3.0,Present,0.0,,,True
1031,Kavita Saxena,Female,IT,IT Manager,Jaipur,Rajasthan,India,,2020-03-06,6.37,69712.0,Diploma,Travel_Frequently,31,2.0,1,5.0,,,,,True
1032,Pooja Reddy,Female,Finance,Accountant,Mumbai,Maharashtra,India,,2014-01-09,12.52,80000.0,Master'S,Non-Travel,37,2.0,1,3.0,,,,,True
1033,Amit Bansal,Male,Human Resources,HR Business Partner,Lucknow,Uttar Pradesh,India,,2011-08-30,14.89,64202.0,Phd,Travel_Frequently,15,4.0,3,4.0,,,,,True
1034,Kirti Malhotra,Female,Finance,Financial Analyst,Mumbai,Maharashtra,India,,2012-03-23,14.32,68002.0,Diploma,Travel_Rarely,29,5.0,2,1.0,Leave,1.5,,,True
1035,Shreya Kapoor,Female,Human Resources,Recruiter,Lucknow,Uttar Pradesh,India,,2024-01-08,2.53,52340.0,High School,Non-Travel,51,1.0,1,3.0,,,,,True
