employee_id,employee_name,gender,hire_date,salary,education_level,business_travel,distance_from_home_km,job_title,department_name,city,state,country,manager_name,latest_history_start,latest_history_end,latest_review_date,performance_rating,job_satisfaction,work_life_balance,latest_attendance_date,latest_attendance_status,overtime_hours,exit_date,exit_reason,is_active
1001,Vivaan Verma,Male,2015-03-23,68938.0,Bachelor'S,Travel_Frequently,41,Content Strategist,Marketing,Lucknow,Uttar Pradesh,India,,2015-03-23,,2025-11-28,1.0,3,1.0,2026-07-10,Present,3.0,2023-08-06,Not Specified,False
1002,Divya Saxena,Female,2011-04-04,69813.0,Bachelor'S,Travel_Frequently,32,Content Strategist,Marketing,Lucknow,Uttar Pradesh,India,,2011-04-04,,2022-11-13,3.0,5,,,,,,,True
1003,Kavya Iyer,Female,2018-12-16,71540.0,Diploma,Travel_Frequently,5,Auditor,Finance,Mumbai,Maharashtra,India,,2018-12-16,,2026-04-10,,2,5.0,2026-07-10,Present,1.5,,,True
1004,Preeti Sharma,Female,2024-05-17,57410.0,Diploma,Non-Travel,41,Recruiter,Human Resources,Lucknow,Uttar Pradesh,India,,2024-05-17,,2025-04-23,2.0,3,5.0,2026-07-10,Present,0.0,2025-01-24,Better Opportunity,False
1005,Suresh Patel,Male,2010-06-09,67274.0,High School,Travel_Frequently,32,Territory Manager,Sales,Bangalore,Karnataka,India,,2010-06-09,,2024-10-19,4.0,2,5.0,,,,,,True
1006,Vikram Bansal,Male,2023-08-10,62507.0,Bachelor'S,Travel_Frequently,29,R&D Manager,Research & Development,Chennai,Tamil Nadu,India,,2023-08-10,,2024-12-12,3.0,4,5.0,,,,,,True
1007,Gaurav Iyer,Male,2024-02-26,61192.0,Phd,Travel_Frequently,37,Sales Executive,Sales,Bangalore,Karnataka,India,,2024-10-05,,2025-04-16,4.0,5,4.0,2026-07-10,Present,1.0,,,True
1008,Riya Singh,Female,2019-03-22,59103.0,High School,Non-Travel,13,Recruiter,Human Resources,Lucknow,Uttar Pradesh,India,,2019-03-22,,2025-12-18,4.0,3,,2026-07-10,Leave,0.0,,,True
1009,Sneha Gupta,Female,2011-02-19,54344.0,Master'S,Travel_Rarely,4,Customer Success Manager,Customer Support,Noida,Uttar Pradesh,India,,2012-10-16,,2024-05-06,,2,1.0,,,,2023-06-09,Retirement,False
1010,Shreya Malhotra,Female,2016-08-27,54155.0,Phd,Non-Travel,4,Support Executive,Customer Support,Noida,Uttar Pradesh,India,,2019-01-09,,2025-01-30,,1,1.0,,,,,,True
1011,Rahul Chopra,Male,2023-05-03,43080.0,Bachelor'S,Travel_Rarely,26,HR Manager,Human Resources,Lucknow,Uttar Pradesh,India,,2023-05-03,,2024-07-19,5.0,2,1.0,,,,,,True
1012,Rohan Kapoor,Male,2015-12-13,54149.0,Bachelor'S,Travel_Frequently,34,HR Manager,Human Resources,Lucknow,Uttar Pradesh,India,,2015-12-13,,2025-02-02,2.0,5,1.0,2026-07-10,Present,0.0,,,True
1013,Vikram Nair,Male,2016-04-27,59252.0,High School,Travel_Frequently,28,HR Manager,Human Resources,Lucknow,Uttar Pradesh,India,,2017-08-18,,2024-09-13,3.0,2,2.0,2026-07-10,Present,0.0,,,True
1014,Amit Patel,Male,2019-08-05,30099.0,Phd,Non-Travel,28,Customer Success Manager,Customer Support,Noida,Uttar Pradesh,India,,2020-09-18,,2025-10-05,4.0,1,2.0,2026-07-10,Present,0.0,2024-07-31,Relocation,False
1015,Suresh Reddy,Male,2022-07-23,40155.0,Diploma,Non-Travel,12,Marketing Executive,Marketing,Lucknow,Uttar Pradesh,India,,2022-07-23,,2022-02-08,2.0,3,5.0,2026-07-10,Present,2.0,,,True
1016,Amit Patel,Male,2014-12-28,54815.0,Diploma,Travel_Rarely,18,HR Executive,Human Resources,Lucknow,Uttar Pradesh,India,,2014-12-28,,2025-09-28,4.0,4,3.0,2026-07-10,Present,3.0,,,True
1017,Preeti Mehta,Female,2014-01-02,55690.0,Phd,Travel_Rarely,37,Sales Executive,Sales,Bangalore,Karnataka,India,,2018-09-01,,2025-01-21,,4,5.0,,,,,,True
1018,Suresh Malhotra,Male,2017-01-15,58749.0,Bachelor'S,Non-Travel,13,Recruiter,Human Resources,Lucknow,Uttar Pradesh,India,,2017-01-15,,2026-12-12,1.0,1,3.0,,,,,,True
1019,Ashok Tiwari,Male,2010-01-04,72524.0,Diploma,Travel_Rarely,51,Auditor,Finance,Mumbai,Maharashtra,India,,2010-01-04,,2026-08-24,4.0,3,1.0,2026-07-10,Present,2.0,,,True
1020,Sanjay Agarwal,Male,2015-04-09,70596.0,High School,Travel_Rarely,41,Software Engineer,IT,Jaipur,Rajasthan,India,,2016-01-26,,2025-07-08,3.0,2,4.0,2026-07-10,Present,1.5,,,True
